
NC6D1KET54	C=CCC(OO)C(C)=O
NC6D1KET34	C=CC(=O)C(CC)OO
NC6D1KET35	C=CC(=O)CC(C)OO
NC6D1KET36	C=CC(=O)CCCOO
NC6D1KET64	C=CCC(CC=O)OO
NC6D3KET12	CCC=CC(C=O)OO
NC6D3KET21	CCC=CC(=O)COO
NC6D2KET45	CC=CC(=O)C(C)OO
NC6D2KET46	CC=CC(=O)CCOO
NC7KET25	CCC(CCC(C)=O)OO
NC7KET35	CCC(=O)CC(CC)OO
NC7KET32	CCCCC(=O)C(C)OO
NC7KET34	CCCC(OO)C(=O)CC
NC7KET43	CCCC(=O)C(CC)OO
NC7KET21	CCCCCC(=O)COO
NC7KET36	CCC(=O)CCC(C)OO
NC7KET23	CCCCC(OO)C(C)=O
NC7KET41	CCCC(=O)CCCOO
C7H14OOH3-1	[CH2]CC(CCCC)OO
C7H14OOH1-4	CCC[CH]CCCOO
IO2C4H8OH	CC(C)(CO)O[O]
TC4H8O2H-I	[CH2]C(C)(C)OO
IO2C4H8OH	CC(C)(CO)O[O]
TC4H8O2H-I	[CH2]C(C)(C)OO
C5H9OOH1-5	C=CCCCOO
C7H14OOH3-1O2	CCCCC(CCO[O])OO
C7H14OOH1-4O2	CCCC(CCCOO)O[O]
NC7KET14	CCCC(CCC=O)OO
NC7KET31	CCCCC(=O)CCOO
C5H9O1-5	C=CCCC[O]
MVOX	C=CC1CC(C)O1
C7H14OOH2-4	CCC[CH]CC(C)OO
C7H14OOH2-6	C[CH]CCCC(C)OO
C7H14OOH2-4O2	CCCC(CC(C)OO)O[O]
C5H9OOH1-4	C=CCC(C)OO
C7H14O2-4	CCCC1CC(C)O1
NC7KET24	CCCC(CC(C)=O)OO
C7H14O2-6	CC1CCCC(C)O1
C7H14OOH2-6O2	CC(CCCC(C)OO)O[O]
C7H14OOH4-2	C[CH]CC(CCC)OO
IC4H7OOH	C=C(C)COO
NC7KET26	CC(=O)CCCC(C)OO
C7H14OOH4-2O2	CCCC(CC(C)O[O])OO
C6H101OOH4-3O2	C=CC(O[O])C(CC)OO
IC4H8O2H-I	[CH2]C(C)COO
NC6D1KET43	C=CC(OO)C(=O)CC
NC7KET42	CCCC(=O)CC(C)OO
C6H102OOH5-4O2	CC=CC(O[O])C(C)OO
C6H102OOH6-4O2	CC=CC(CCOO)O[O]
C7H14OOH3-7	[CH2]CCCC(CC)OO
C6H101OOH6-3O2	C=CC(CCCOO)O[O]
C7H14OOH1-5	CC[CH]CCCCOO
C6H101OOH5-3O2	C=CC(CC(C)OO)O[O]
C6H11OOH1-5	C=CCCC(C)OO
C6H11OOH1-4	C=CCC(CC)OO
TC3H6O2HCO	CC(C)([C]=O)OO
C2H3COC3H7	C=CC(=O)CCC
C7H14O1-5	CCC1CCCCO1
NC6D2KET54	CC=CC(OO)C(C)=O
NC6D2KET64	CC=CC(CC=O)OO
C7H14OOH3-7O2	CCC(CCCCO[O])OO
C7H14OOH1-5O2	CCC(CCCCOO)O[O]
NC6D1KET53	C=CC(CC(C)=O)OO
NC6D1KET63	C=CC(CCC=O)OO
CC4H8O	CC1CCO1
IC4H8OOH-IO2	CC(CO[O])COO
NC7KET37	CCC(=O)CCCCOO
NC7KET15	CCC(CCCC=O)OO
IC4KETIT	CC(C)(C=O)OO
IC4KETII	CC(C=O)COO
IC4H8OOH-IO2	CC(CO[O])COO
TC4H8OOH-IO2	CC(C)(CO[O])OO
IIC4H7Q2-I	[CH2]C(COO)COO
TIC4H7Q2-I	[CH2]C(C)(COO)OO
IIC4H7Q2-T	C[C](COO)COO
C7H14OH-1	CCCCC[CH]CO
